"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2611","MULTIPOINT(951992.942864432 1956961.38343551)","0","혜화경찰서","혜화구","","하비에르국제학교","국제학교","서울특별시 종로구 비봉길23","126.9560699","37.6108309"
"2612","MULTIPOINT(952777.456262455 1952950.50928915)","0","종로경찰서","종로구","","수도사랑의학교","특수학교","서울특별시 종로구 사직로7길17","126.965217","37.574721"
"2613","MULTIPOINT(953196.043709541 1953032.01462596)","0","종로경찰서","종로구","","세종유치원","유치원","서울특별시 종로구 사직로8길 9","126.969952","37.575477"
"2614","MULTIPOINT(952923.272668628 1953228.55064065)","0","종로경찰서","종로구","","매동초등학교","초등학교","서울특별시 종로구 사직로9길19","126.9668504","37.5772345"
"2615","MULTIPOINT(954780.514552874 1952958.03376201)","0","종로경찰서","종로구","","교동, 운현초등학교","초등학교","서울특별시 종로구 삼일대로454,","126.9878998","37.5748894"
"2616","MULTIPOINT(952605.383314256 1955922.64307139)","0","종로경찰서","종로구","","부암어린이집","어린이집","서울특별시 종로구 세검정로6다길 10-7","126.963076","37.6015004"
"2617","MULTIPOINT(952414.49839101 1956133.14284492)","0","종로경찰서","종로구","","세검정초등학교","초등학교","서울특별시 종로구 세검정로9길1","126.9608999","37.6033878"
"2618","MULTIPOINT(952707.409942005 1952728.5888902)","0","종로경찰서","종로구","","상록수 어린이집","어린이집","서울특별시 종로구 송월1길 73-7","126.9644381","37.5727172"
"2619","MULTIPOINT(952953.595721584 1953614.64735285)","0","종로경찰서","종로구","","누상어린이집","어린이집","서울특별시 종로구 옥인길 23-4","126.967169","37.580716"
"2620","MULTIPOINT(953133.63397027 1954197.00902325)","0","종로경찰서","종로구","","청운초등학교","초등학교","서울특별시 종로구 자하문로105","126.9691707","37.5859741"
"2621","MULTIPOINT(953299.987287121 1954062.44363372)","0","종로경찰서","종로구","","무궁화어린이집","어린이집","서울특별시 종로구 자하문로28길 8","126.9710634","37.5847697"
"2622","MULTIPOINT(952287.4580953 1955772.91008887)","0","종로경찰서","종로구","","세검정유치원","유치원","서울특별시 종로구 자하문로310","126.9594842","37.6001344"
"2623","MULTIPOINT(952855.602619029 1954467.52554757)","0","종로경찰서","종로구","","청운어린이집","어린이집","서울특별시 종로구 자하문로35길 21","126.9660043","37.5883981"
"2624","MULTIPOINT(952376.448449543 1955593.04854642)","0","종로경찰서","종로구","","엔젤키즈어린이집","어린이집","서울특별시 종로구 자하문로43길 4-13","126.960504","37.5985179"
"2625","MULTIPOINT(953231.908872502 1953770.51000955)","0","종로경찰서","종로구","","옥인유치원","유치원","서울특별시 종로구 자하문로69","126.970311","37.582135"
"2626","MULTIPOINT(952336.297568831 1952888.94788798)","0","종로경찰서","종로구","","독립문초등학교","초등학교","서울특별시 종로구 통일로12길 23","126.9602252","37.5741434"
"2627","MULTIPOINT(953881.044752583 1957336.55210723)","0","종로경찰서","종로구","","하나유치원","유치원","서울특별시 종로구 평창길317","126.977438","37.614309"
"2628","MULTIPOINT(953057.874655905 1956467.78080814)","0","종로경찰서","종로구","","생명숲어린이집","어린이집","서울특별시 종로구 평창문화로 73-7","126.968167","37.606437"
"2629","MULTIPOINT(952999.116069101 1954040.4445481)","0","종로경찰서","종로구","","서울맹,농학교","특수학교","서울특별시 종로구 필운대로 97, 필운대로103","126.9676572","37.5845561"
"2630","MULTIPOINT(952042.680966027 1955823.78398283)","0","종로경찰서","종로구","","상명대부속초등학교","초등학교","서울특별시 종로구 홍지문2길1","126.956708","37.6005802"
"2631","MULTIPOINT(953487.342084224 1953501.07667709)","0","종로경찰서","종로구","","서울청사한빛어린이집","어린이집","서울특별시 종로구 효자로39","126.973221","37.5797195"
"2632","MULTIPOINT(957942.165149823 1951729.36582589)","0","서울중부경찰서","서울구","","신당초등학교","초등학교","서울특별시 중구 난계로 141","127.0237741","37.563965"
"2633","MULTIPOINT(957813.284190355 1952264.67715602)","0","서울중부경찰서","서울구","","황학어린이집","어린이집","서울특별시 중구 난계로15길 23","127.022284","37.568784"
"2634","MULTIPOINT(957104.532915439 1951161.93866233)","0","서울중부경찰서","서울구","","청구초등학교","초등학교","서울특별시 중구 다산로 170","127.014323","37.558812"
