학교명,주소
서울삼광초등학교,서울특별시 용산구 두텁바위로1나길 19
서울봉래초등학교,서울특별시 중구 손기정로 73
서울보광초등학교,서울특별시 용산구 우사단로 20
서울명신초등학교,서울특별시 종로구 낙산길 250
서울매동초등학교,서울특별시 종로구 사직로9길 19
서울독립문초등학교,서울특별시 종로구 통일로12길 23
서울덕수초등학교,서울특별시 중구 덕수궁길 140
서울남정초등학교,서울특별시 용산구 원효로64길 17-10
서울남산초등학교,서울특별시 중구 퇴계로22길 17
서울금양초등학교,서울특별시 용산구 효창원로 137
서울교동초등학교,서울특별시 종로구 삼일대로 446
서울광희초등학교,서울특별시 중구 다산로 269
상명대학교사범대학부속초등학교,서울특별시 종로구 홍지문2길 1
리라초등학교,서울특별시 중구 소파로2길 7
동산초등학교,서울특별시 중구 매봉18길 109
화랑초등학교,서울특별시 노원구 화랑로 621
한신초등학교,서울특별시 도봉구 노해로49길 69
태강삼육초등학교,서울특별시 노원구 화랑로 815
청원초등학교,서울특별시 노원구 한글비석로 506
서울한천초등학교,서울특별시 노원구 마들로 45
서울태릉초등학교,서울특별시 노원구 노원로1길 36
서울태랑초등학교,서울특별시 노원구 화랑로51나길 31
서울초당초등학교,서울특별시 도봉구 해등로32길 11
서울청계초등학교,서울특별시 노원구 공릉로 431
서울창일초등학교,서울특별시 도봉구 노해로66길 84
서울창원초등학교,서울특별시 도봉구 해등로 103
서울창림초등학교,서울특별시 도봉구 덕릉로63길 46
서울창동초등학교,서울특별시 도봉구 해등로16길 81
서울창도초등학교,서울특별시 도봉구 방학로 32-28
서울창경초등학교,서울특별시 도봉구 도봉로129길 54
서울중현초등학교,서울특별시 노원구 섬밭로 181
서울중평초등학교,서울특별시 노원구 섬밭로 241
서울중원초등학교,서울특별시 노원구 섬밭로 316
서울중계초등학교,서울특별시 노원구 한글비석로19길 39
서울자운초등학교,서울특별시 도봉구 마들로13길 166
서울을지초등학교,서울특별시 노원구 중계로 239
서울월천초등학교,서울특별시 도봉구 노해로70길 96
서울월계초등학교,서울특별시 노원구 월계로45가길 10
서울원광초등학교,서울특별시 노원구 덕릉로76길 18
서울용원초등학교,서울특별시 노원구 섬밭로 144
서울용동초등학교,서울특별시 노원구 한글비석로1길 81-11
서울온곡초등학교,서울특별시 노원구 한글비석로52길 59
서울오봉초등학교,서울특별시 도봉구 시루봉로 285
서울연촌초등학교,서울특별시 노원구 공릉로58길 36
서울연지초등학교,서울특별시 노원구 월계로55길 48
서울쌍문초등학교,서울특별시 도봉구 우이천로 360
서울신화초등학교,서울특별시 도봉구 우이천로 120
서울신학초등학교,서울특별시 도봉구 방학로 247-21
서울신창초등학교,서울특별시 도봉구 덕릉로60길 93
서울신상계초등학교,서울특별시 노원구 상계로 267
서울신방학초등학교,서울특별시 도봉구 시루봉로 173
서울신계초등학교,서울특별시 노원구 초안산로 29
서울숭미초등학교,서울특별시 도봉구 노해로 179
서울수암초등학교,서울특별시 노원구 중계로12길 9
서울수락초등학교,서울특별시 노원구 동일로 1745
서울선곡초등학교,서울특별시 노원구 광운로2길 1
서울상천초등학교,서울특별시 노원구 덕릉로 443
서울상월초등학교,서울특별시 노원구 동일로221길 27
서울상원초등학교,서울특별시 노원구 한글비석로54길 119
서울상수초등학교,서울특별시 노원구 동일로216길 66
서울상곡초등학교,서울특별시 노원구 노원로38길 34
서울상계초등학교,서울특별시 노원구 상계로9길 39
서울상경초등학교,서울특별시 노원구 수락산로 237
서울불암초등학교,서울특별시 노원구 중계로 178
서울백운초등학교,서울특별시 도봉구 삼양로146길 17
서울방학초등학교,서울특별시 도봉구 도당로9길 34
서울동일초등학교,서울특별시 노원구 한글비석로 566
서울도봉초등학교,서울특별시 도봉구 도봉로173길 96
서울덕암초등학교,서울특별시 노원구 덕릉로112길 68
서울당현초등학교,서울특별시 노원구 동일로213길 52
서울누원초등학교,서울특별시 도봉구 마들로 859-44
서울녹천초등학교,서울특별시 노원구 마들로3길 34
서울노일초등학교,서울특별시 노원구 동일로 1625
서울노원초등학교,서울특별시 노원구 동일로230나길 32
서울공연초등학교,서울특별시 노원구 동일로192가길 16
서울공릉초등학교,서울특별시 노원구 동일로173길 12
서울계상초등학교,서울특별시 노원구 한글비석로41가길 24
서울가인초등학교,서울특별시 도봉구 도봉로136다길 4
상명초등학교,서울특별시 노원구 덕릉로 541
동북초등학교,서울특별시 도봉구 시루봉로 53
서울항동초등학교,서울특별시 구로구 연동로 178
서울하늘숲초등학교,서울특별시 구로구 오리로 1106
서울금나래초등학교,서울특별시 금천구 시흥대로79길 37
서울천이초등학교,서울특별시 구로구 오류로 30
서울천왕초등학교,서울특별시 구로구 천왕로1길 11
서울탑동초등학교,서울특별시 금천구 탑골로 47-3
서울정심초등학교,서울특별시 금천구 독산로78다길 89
서울윤중초등학교,서울특별시 영등포구 여의나루로2길 14
서울우신초등학교,서울특별시 영등포구 신길로 190
서울온수초등학교,서울특별시 구로구 부일로 893
서울오정초등학교,서울특별시 구로구 경인로2길 10
서울오류초등학교,서울특별시 구로구 경인로19길 39
서울오류남초등학교,서울특별시 구로구 서해안로24길 22
서울영중초등학교,서울특별시 영등포구 양산로 185
서울영일초등학교,서울특별시 구로구 남부순환로105길 218
서울영원초등학교,서울특별시 영등포구 도영로 22길 31
서울영신초등학교,서울특별시 영등포구 도신로60길 23
서울영서초등학교,서울특별시 구로구 도림로20길 57
서울영문초등학교,서울특별시 영등포구 문래로 56
서울영림초등학교,서울특별시 영등포구 시흥대로173길 14
서울영등포초등학교,서울특별시 영등포구 경인로 756
서울영동초등학교,서울특별시 영등포구 국회대로53길 20
서울영남초등학교,서울특별시 금천구 문성로 62-15
서울여의도초등학교,서울특별시 영등포구 여의대방로 439
서울안천초등학교,서울특별시 금천구 한내로 69-16
서울신흥초등학교,서울특별시 금천구 독산로36나길 21
서울신영초등학교,서울특별시 영등포구 도신로4길 32
서울신미림초등학교,서울특별시 구로구 신도림로 26
서울신도림초등학교,서울특별시 구로구 신도림로19길 44
서울신대림초등학교,서울특별시 영등포구 대림로8길 25
서울신구로초등학교,서울특별시 구로구 가마산로27길 69
서울시흥초등학교,서울특별시 금천구 독산로23길 26
서울세곡초등학교,서울특별시 구로구 고척로33길 34
서울선유초등학교,서울특별시 영등포구 선유로43가길 14
서울백산초등학교,서울특별시 금천구 시흥대로38길 78
서울미래초등학교,서울특별시 구로구 새말로 73
서울문성초등학교,서울특별시 금천구 시흥대로 460
서울문백초등학교,서울특별시 금천구 시흥대로47길 43-1
서울문래초등학교,서울특별시 영등포구 문래로 104
서울문교초등학교,서울특별시 금천구 독산로54길 102
서울매봉초등학교,서울특별시 구로구 고척로21길 55
서울두산초등학교,서울특별시 금천구 범안로11길 3
서울동구로초등학교,서울특별시 구로구 구로중앙로14길 43
서울독산초등학교,서울특별시 금천구 시흥대로104길 31
서울도신초등학교,서울특별시 영등포구 도림로53길 32-9
서울도림초등학교,서울특별시 영등포구 가마산로65길 22
서울덕의초등학교,서울특별시 구로구 고척로 213
서울대영초등학교,서울특별시 영등포구 신길로23길 43
서울대방초등학교,서울특별시 영등포구 여의대방로35길 14
서울대동초등학교,서울특별시 영등포구 대림로21길 6
서울대길초등학교,서울특별시 영등포구 대방천로 206
서울당중초등학교,서울특별시 영등포구 선유로 131
서울당서초등학교,서울특별시 영등포구 당산로 187
서울당산초등학교,서울특별시 영등포구 선유로55길 32
서울금천초등학교,서울특별시 금천구 탑골로5길 60
서울금산초등학교,서울특별시 금천구 시흥대로24길 57
서울금동초등학교,서울특별시 금천구 금하로30길 53
서울구일초등학교,서울특별시 구로구 구일로 68
서울구로초등학교,서울특별시 구로구 구로중앙로27나길 9
서울구로남초등학교,서울특별시 구로구 디지털로27길 76
서울고척초등학교,서울특별시 구로구 경서로 31
서울고원초등학교,서울특별시 구로구 경인로46길 13
서울고산초등학교,서울특별시 구로구 중앙로 6
서울개웅초등학교,서울특별시 구로구 개봉로11길 98
서울개봉초등학교,서울특별시 구로구 개봉로16길 30-11
서울개명초등학교,서울특별시 구로구 개봉로1다길 16-9
서울가산초등학교,서울특별시 금천구 남부순환로 1304-11
동광초등학교,서울특별시 금천구 탑골로10길 45
서울어울초등학교,서울특별시 은평구 통일로 650
서울가재울초등학교,서울특별시 서대문구 모래내로15길 61
서울은빛초등학교,서울특별시 은평구 진관3로 73-17
서울하늘초등학교,서울특별시 마포구 월드컵북로 502-14
서울수리초등학교,서울특별시 은평구 불광로14길 10-10
홍익대학교사범대학부속초등학교,서울특별시 마포구 성미산로 51
충암초등학교,서울특별시 은평구 가좌로5길 5
추계초등학교,서울특별시 서대문구 북아현로11가길 7
이화여자대학교사범대학부속초등학교,서울특별시 서대문구 성산로 512-39
