지역구,어린이집명,주소
강동구,구립사랑그린어린이집,서울특별시 강동구 고덕로98길 29 강동리엔파크9단지 관리동
서대문구,한별어린이집,서울특별시 서대문구 이화여대8길 123 힐스테이트신촌아파트 단지 내
강동구,구립해봄어린이집,서울특별시 강동구 아리수로93가길 70 강동리버스트7단지아파트 관리동
강동구,구립강동해밀어린이집,서울특별시 강동구 아리수로93가길 77 강동리버스트6단지아파트 관리동
강서구,구립대우주어린이집,서울특별시 강서구 화곡로13길 107 135동 101호
서초구,서초구립 센트럴아이파크어린이집,서울특별시 서초구 반포대로18길 36
영등포구,신길힐스테이트나래어린이집,서울특별시 영등포구 신길로28길 9
송파구,위례푸른숲어린이집,서울특별시 송파구 위례북로4길 12
강남구,도토리소풍넥슨 강남어린이집,서울특별시 강남구 강남대로110길 36 (역삼동)
강남구,현대오토에버 늘해랑어린이집,서울특별시 강남구 삼성로84길 13
송파구,쿠팡(위례)어린이집,서울특별시 송파구 위례광장로 188 아이온스퀘어 2F
강남구,포레스트어린이집,서울특별시 강남구 개포로 264
광진구,구립 샘물어린이집,서울특별시 광진구 뚝섬로58길 56 101호
송파구,거여사과나무어린이집,"서울특별시 송파구 거마로 41 302동 101호(거여동, 현대3차아파트)"
강남구,빛의숲어린이집,서울특별시 강남구 논현로158길 19 1층
송파구,송파아이숲어린이집,서울특별시 송파구 오금로 551 205동 104호
용산구,큰나래어린이집,"서울특별시 용산구 서빙고로 17 102동 1,2,3층"
강동구,구립늘해랑어린이집,서울특별시 강동구 고덕로 399 고덕센트럴푸르지오아파트 관리동
성북구,꿈빛 어린이집,서울특별시 성북구 종암로21길 127 101동 101호
영등포구,새솔아델포레어린이집,서울특별시 영등포구 신길로 29
중랑구,사가정 아이파크어린이집,서울특별시 중랑구 동일로92길 40 (면목동)
중랑구,라온어린이집,서울특별시 중랑구 동일로91길 23 (면목동)
은평구,신아푸르지오 어린이집,서울특별시 은평구 연서로 455 제각말 5단지 푸르지오 관리동(진관동)
도봉구,서울도봉경찰서어린이집,서울특별시 도봉구 노해로 403 서울도봉경찰서어린이집
마포구,중앙그룹직장어린이집,"서울특별시 마포구 월드컵북로 375 1,2층"
관악구,카페24직장어린이집,서울특별시 관악구 보라매로3길 23 2층(카페24직장어린이집)
구로구,별하어린이집,서울특별시 구로구 항동로 68 하버라인9단지 관리동 내
영등포구,당산2동센트럴아이파크별하어린이집,서울특별시 영등포구 영신로 247 107동 관리동
송파구,방이즐거운어린이집,서울특별시 송파구 가락로39길 6 (방이동)
송파구,송파파크센트럴어린이집,서울특별시 송파구 오금로 551
관악구,구립키즈맘어린이집,서울특별시 관악구 봉천로23나길 35 101호
강남구,현대모비스모아어린이집,서울특별시 강남구 테헤란로13길 34
구로구,해바라기어린이집,서울특별시 구로구 항동로 8 관리동
구로구,참누리어린이집,"서울특별시 구로구 경인로 302 관리동 (개봉동,개봉역센트레빌레우스 임대아파트)"
강동구,구립강동든든어린이집,서울특별시 강동구 아리수로93가길 110 강동리버스트 4단지 관리동
영등포구,당산2동은솔어린이집,서울특별시 영등포구 당산로42길 23
서초구,서초구립 반포센트럴자이어린이집,서울특별시 서초구 반포대로 310-6 (반포센트럴자이어린이집)
성북구,아이누리어린이집,서울특별시 성북구 숭인로 16 103동 101호
종로구,서울지방국세청 우리누리어린이집,서울특별시 종로구 종로5길 86
중랑구,새우개 하나어린이집,서울특별시 중랑구 용마산로139다길 17 (신내동)
양천구,공공형실내놀이터5색깔깔KIDS(양천구육아종합지원센터),서울특별시 양천구 목동남로 106-23
양천구,서울남부지방법원 직장어린이집,서울특별시 양천구 신월로 386 별관 5층
강서구,두빛나래터발도르프어린이집,서울특별시 강서구 등촌로39마길 52
영등포구,아이키움문래어린이집,서울특별시 영등포구 선유로9길 30 102동 1층(문래동6가)
은평구,구립 물빛캐슬어린이집,서울특별시 은평구 수색로 300
마포구,다올어린이집,서울특별시 마포구 양화로 72 1층
동대문구,늘봄어린이집,서울특별시 동대문구 외대역동로1길 60-3 휘경해모로 관리동
도봉구,한나무어린이집,"서울특별시 도봉구 노해로66길 21 103동 105호(창동, 삼성래미안아파트)"
