영업상태코드,지역구
1,서울특별시 종로구 관철동 10-23번지 
1,서울특별시 종로구 충신동 57-4번지 
1,서울특별시 종로구 숭인동 317-20번지 지하1층 
1,서울특별시 종로구 낙원동 193번지 
1,서울특별시 종로구 낙원동 198 
1,서울특별시 종로구 장사동 130-1번지 
1,서울특별시 종로구 종로1가 24 르메이에르 종로타운 비223호
1,서울특별시 종로구 종로5가 42-1 메디칼라움빌딩 
1,"서울특별시 종로구 당주동 2-2번지 지하1,2층 "
1,서울특별시 종로구 종로5가 231-22번지 
1,서울특별시 종로구 종로5가 231-22번지 (지상1~2층) 
1,서울특별시 종로구 종로5가 115번지 
1,서울특별시 종로구 숭인동 316-2번지 
1,서울특별시 종로구 관철동 18-13번지 (지상3층) 
1,서울특별시 종로구 교북동 12-19번지 
1,"서울특별시 종로구 종로5가 503-15번지 16,27,28 "
1,서울특별시 종로구 낙원동 225-0번지 지하1층 
1,서울특별시 종로구 종로2가 8-4번지 
1,서울특별시 종로구 낙원동 93번지 
1,서울특별시 종로구 관훈동 198-8번지 지하1층 
1,서울특별시 종로구 종로5가 231-16번지 
1,서울특별시 종로구 숭인동 201-25번지 (지하1층) 
1,서울특별시 종로구 종로5가 231-16번지 지상1층 
1,서울특별시 종로구 관철동 11-24번지 
1,서울특별시 종로구 낙원동 179 (지하1층)
1,서울특별시 종로구 청진동 11-6번지 
1,서울특별시 종로구 창신동 464-4  (지상2층) 
1,서울특별시 종로구 효제동 318-1번지 
1,서울특별시 종로구 종로5가 231-22번지 지상1~2층 
3,서울특별시 종로구 숭인동 419-2번지 
1,서울특별시 종로구 숭인동 252번지 
1,서울특별시 종로구 돈의동 128-2 
3,서울특별시 종로구 낙원동 169-1번지 
1,서울특별시 종로구 운니동 20 지하1층 
1,서울특별시 종로구 교남동 34번지 지하1층 
1,서울특별시 종로구 청진동 6번지 지하1층 
1,서울특별시 종로구 관수동 3-5번지 
1,서울특별시 종로구 당주동 2-3번지 외 2필지(지하1층) 
1,서울특별시 종로구 낙원동 207번지 
1,서울특별시 종로구 관수동 20-0번지 
1,서울특별시 종로구 창신동 459-25번지 
1,서울특별시 종로구 낙원동 173-1 지하1층
1,서울특별시 종로구 종로6가 246-1번지 
1,서울특별시 종로구 창신동 438-16 덕일빌딩 
1,서울특별시 종로구 관철동 19-16 
1,서울특별시 종로구 효제동 175-1번지 지하1층 
3,서울특별시 종로구 종로5가 113
3,서울특별시 종로구 청진동 152번지 지하1층 
1,서울특별시 종로구 당주동 42-2번지 
1,서울특별시 종로구 연지동 206번지 지하1층 
1,서울특별시 종로구 종로5가 231-19번지 
1,서울특별시 종로구 당주동 160-0
1,서울특별시 종로구 당주동 100번지 
1,서울특별시 종로구 낙원동 58-1번지 종로오피스텔 지하 1층 117호 
1,서울특별시 종로구 당주동 171-0번지 지하1층 
1,서울특별시 종로구 청진동 140-0번지 
1,서울특별시 종로구 청진동 296-1번지 지하1층 
1,서울특별시 종로구 종로5가 321-18번지  동  호
1,서울특별시 종로구 종로5가 231-15번지 
1,서울특별시 종로구 효제동 233-1번지 
1,서울특별시 종로구 창신동 438-14번지 외1필지 지하1층 
1,서울특별시 종로구 와룡동 97-1번지 지하1층 
1,서울특별시 종로구 당주동 18번지 
1,서울특별시 종로구 종로3가 6번지 지상3층 
1,서울특별시 종로구 관철동 19-19번지 
1,서울특별시 종로구 돈의동 45-1번지 지하(1층) 
1,서울특별시 종로구 인의동 36번지 지하1층 
1,서울특별시 종로구 효제동 245-21번지 지상1층 
