영업상태코드,주소
1,서울특별시 종로구 창신동 438-14번지 외1필지 지하1층 
1,서울특별시 종로구 와룡동 97-1번지 지하1층 
1,서울특별시 종로구 당주동 18번지 
1,서울특별시 종로구 종로3가 6번지 지상3층 
1,서울특별시 종로구 관철동 19-19번지 
1,서울특별시 종로구 돈의동 45-1번지 지하(1층) 
1,서울특별시 종로구 인의동 36번지 지하1층 
1,서울특별시 종로구 효제동 245-21번지 지상1층 
1,서울특별시 종로구 종로5가 38-2 지상2층
1,서울특별시 종로구 종로5가 193-1
1,서울특별시 종로구 효제동 227-1 혜원한의원
1,서울특별시 종로구 종로6가 244-16 지하1층
1,서울특별시 종로구 효제동 173-1 동광빌딩
1,서울특별시 종로구 효제동 173-1 동광빌딩
1,서울특별시 종로구 종로5가 231-1번지 (지상1층) 
1,"서울특별시 종로구 효제동 233-3번지 ,236번지 (지하1층) "
1,서울특별시 종로구 당주동 23-6번지 
1,서울특별시 종로구 재동 92-0번지 
1,서울특별시 종로구 종로5가 54번지 (지하1층) 
1,서울특별시 종로구 종로5가 42-1번지 신화빌딩 
1,서울특별시 종로구 효제동 185번지 (지상1층) 
1,서울특별시 종로구 원남동 118-0번지 
1,서울특별시 종로구 청진동 80번지 지하1층 
1,서울특별시 종로구 관훈동 198-30번지 지하1층 
1,서울특별시 종로구 관철동 11-3번지 지하1층 
1,서울특별시 강북구 번동 446-46
1,서울특별시 중구 황학동 730번지 
1,서울특별시 중구 충무로3가 34-7번지 2층 
1,서울특별시 중구 초동 21-2번지 
1,서울특별시 중구 광희동1가 187-9번지 (지상2층) 
1,서울특별시 중구 충무로3가 57-5번지 (지하1층) 
1,서울특별시 중구 충무로3가 25-5 (지상2층) 
1,"서울특별시 중구 남대문로5가 84-1번지 2호,3호(지상4층) "
1,서울특별시 중구 초동 19-2번지 2층 
1,서울특별시 중구 무교동 21-3 지하1층 
1,서울특별시 중구 신당동 120-4번지 (지하1층) 
1,서울특별시 중구 충무로2가 60-3 지하1층
1,서울특별시 중구 황학동 737-0
1,서울특별시 중구 수표동 11-3번지 (지하1층) 
1,서울특별시 중구 을지로3가 291-41번지 (2층) 
1,서울특별시 중구 신당동 100-6번지 (2층) 
1,서울특별시 중구 충무로3가 34-8번지 (지상2층) 
1,서울특별시 중구 충무로3가 56-1 (지상3층) 
1,서울특별시 중구 황학동 371-38 신라여관 
1,서울특별시 중구 충무로3가 28-2 
1,서울특별시 중구 흥인동 15-0 
1,서울특별시 중구 충무로4가 155-2 
1,서울특별시 중구 북창동 98-0번지 
1,서울특별시 중구 남대문로5가 63-20번지 1층 
1,서울특별시 중구 남대문로4가 3-13 
1,서울특별시 중구 충무로4가 130-3번지 외1(지상2층) 
1,서울특별시 중구 초동 19-9 
1,서울특별시 중구 남대문로5가 6-10번지 (지상2층) 
1,서울특별시 중구 초동 41-2 2층 
1,서울특별시 중구 충무로4가 28-3번지 (지상1층) 
1,서울특별시 중구 광희동1가 188-4번지 (지하1층) 
1,서울특별시 중구 회현동1가 202-5번지 (지하1층) 
1,서울특별시 중구 충무로4가 26번지 2층 
1,서울특별시 중구 충무로2가 50-5번지 (지하1층) 
1,서울특별시 중구 광희동1가 45-0번지 (지하1층) 
1,서울특별시 중구 황학동 703-1 (지층1)
1,서울특별시 중구 충무로4가 29-3
1,서울특별시 중구 인현동1가 87-18 (지하1층)
1,서울특별시 중구 오장동 148-1번지 (2층) 
1,서울특별시 중구 신당동 100-7번지 1층 
1,서울특별시 중구 흥인동 111 (지하1층) 
1,서울특별시 중구 충무로3가 35-3번지 외 1필지 (지상2층) 
1,서울특별시 중구 북창동 82 (지하1층) 
1,서울특별시 중구 서소문동 90번지 외3필지(지하1층) 
1,서울특별시 중구 광희동1가 38-1 (지하1층)
1,서울특별시 중구 을지로5가 133-1번지 
1,서울특별시 중구 충무로3가 36-4 (지상2층)
1,서울특별시 중구 다동 117번지 지하1층 
1,서울특별시 중구 주교동 43-25번지 지하1층 
1,서울특별시 중구 충무로3가 59-11번지 2층 
1,서울특별시 중구 충무로3가 33-1 
1,서울특별시 중구 초동 53-20번지 지상 3층 
1,서울특별시 중구 초동 107-5번지 지상3층 
1,서울특별시 중구 북창동 71-2번지 삼영빌딩 3층 
1,서울특별시 중구 광희동1가 182-39 지상2층 
1,서울특별시 중구 을지로3가 291-40번지 지상2층 
1,서울특별시 중구 을지로3가 296-11번지 
1,서울특별시 중구 충무로2가 60-3번지 지하1층 
1,서울특별시 중구 남대문로5가 17-3번지 (지하1층) 
1,서울특별시 중구 충무로4가 24-6번지 (지상2층) 
1,서울특별시 중구 남대문로5가 63-9 지하1층 
1,서울특별시 중구 충무로3가 25-2 지하1층 
1,서울특별시 중구 광희동1가 191 (지하1층)
1,서울특별시 중구 충무로3가 59-6 지하1층
1,서울특별시 중구 황학동 732 2층 
1,서울특별시 중구 을지로1가 37-0번지 지하1층 
1,서울특별시 중구 을지로1가 37-0번지 지하2층 
1,서울특별시 중구 방산동 70-4번지 
1,서울특별시 중구 필동1가 10-9번지 
1,서울특별시 중구 황학동 629-0 
1,서울특별시 중구 을지로4가 109-1 
