사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2017081400100501.0,2017년 8월 14일 18시,월요일,서울특별시 노원구 하계동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,이륜,남,20세,상해없음,보행자,남,8세,경상,37.52655546831752,127.03965079414964
2017081400100548.0,2017년 8월 14일 19시,월요일,서울특별시 강동구 둔촌동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,기타 - 기타,승용,남,22세,상해없음,보행자,여,7세,중상,37.63335650010836,127.0708514530645
2017081700100359.0,2017년 8월 17일 16시,목요일,서울특별시 강북구 미아동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,여,11세,경상,37.52925597405904,127.14278489405142
2017081800100105.0,2017년 8월 18일 08시,금요일,서울특별시 마포구 염리동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,12세,경상,37.61412986017344,127.0348964580197
2017081800100168.0,2017년 8월 18일 10시,금요일,서울특별시 강남구 논현동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,43세,상해없음,보행자,남,2세,경상,37.54676465921371,126.94546504366409
2017081800100262.0,2017년 8월 18일 13시,금요일,서울특별시 성북구 정릉동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,보행자,남,12세,중상,37.51232270740322,127.06574068729564
2017081800100323.0,2017년 8월 18일 15시,금요일,서울특별시 마포구 망원동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,13세,상해없음,보행자,남,2세,부상신고,37.60480977234383,127.01251126745083
2017081800100470.0,2017년 8월 18일 19시,금요일,서울특별시 서초구 반포동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,보행자,남,11세,중상,37.55742051850993,126.8997810127748
2017082000100390.0,2017년 8월 20일 19시,일요일,서울특별시 송파구 송파동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,보행자,남,10세,경상,37.50116751961643,127.01129653252993
2017082200100376.0,2017년 8월 22일 16시,화요일,서울특별시 서대문구 홍은동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,기타불명,보행자,남,10세,중상,37.50780640223496,127.11222455557392
