사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,고속도로명
2022032800100339,2022년 3월 28일 17시,월요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,27세,경상,승합,남,57세,상해없음,서해안고속도로
2022032900100182,2022년 3월 29일 12시,화요일,경기도 안양시 만안구 석수동,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,41세,사망,승용,남,55세,경상,서해안고속도로
2022033100100135,2022년 3월 31일 11시,목요일,경기도 평택시 청북읍,부상신고사고,0,0,0,1,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,화물,남,37세,부상신고,서해안고속도로
2022033100100278,2022년 3월 31일 16시,목요일,경기도 화성시 팔탄면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,55세,경상,서해안고속도로
2022033100100387,2022년 3월 31일 19시,목요일,경기도 화성시 향남읍,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,기타 - 기타,승용,남,38세,상해없음,화물,남,55세,경상,서해안고속도로
2022033100100397,2022년 3월 31일 19시,목요일,전라남도 무안군 몽탄면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,여,68세,경상,서해안고속도로
2022040100100036,2022년 4월 1일 06시,금요일,경기도 안산시 상록구 부곡동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,화물,남,60세,중상,서해안고속도로
2022040200100432,2022년 4월 2일 18시,토요일,경기도 안양시 만안구 박달동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,27세,상해없음,승용,남,26세,경상,서해안고속도로
2022040200100453,2022년 4월 2일 19시,토요일,충청남도 당진시 송악읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,여,28세,경상,서해안고속도로
2022040300100221,2022년 4월 3일 15시,일요일,경기도 안양시 만안구 석수동,중상사고,0,3,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,69세,중상,서해안고속도로
2022040500100098,2022년 4월 5일 08시,화요일,경기도 안양시 만안구 박달동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,51세,상해없음,승용,남,28세,경상,서해안고속도로
2022040700100027,2022년 4월 7일 01시,목요일,충청남도 당진시 사기소동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,28세,상해없음,화물,남,41세,경상,서해안고속도로
